날짜,계정,금액,적요,플랫폼,구분
2025-01-01,(판)광고선전비,90806,[법인카드사용]네이버 1월 라이브 내부직원 출연료(상품권),네이버,라이브
2025-01-01,(판)광고선전비,197194,[법인카드사용]네이버 1월 라이브 내부직원 출연료(상품권),네이버,라이브
2025-01-01,(판)판촉비,380000,1월 네이버 일룸 선급금 사용분,네이버,네이버 비즈월렛
2025-01-01,(판)판촉비,24817,헤이븐클럽 코끼리 명상음원서비스_25년 1월_공식몰,일룸쇼핑몰,공식몰프로모션
2025-01-01,(판)판촉비,1881000,구매 프로모션(온라인_공식몰),일룸쇼핑몰,공식몰프로모션
2025-01-01,(판)판촉비,902500,입주 프로모션(온라인_공식몰),일룸쇼핑몰,공식몰프로모션
2025-01-01,(판)판촉비,522500,신혼 프로모션(온라인_공식몰),일룸쇼핑몰,공식몰프로모션
2025-01-01,(판)판촉비,42750,경동 온열매트 구매 프로모션(온라인_공식몰),일룸쇼핑몰,공식몰프로모션
2025-01-01,(판)판촉비,28500,후기 프로모션(온라인_공식몰),일룸쇼핑몰,공식몰프로모션
2025-01-01,(판)판촉비,1985500,스팟성 프로모션_책상/단독(온라인_공식몰),일룸쇼핑몰,공식몰프로모션
2025-01-01,(판)광고선전비,110000,[법인카드사용]네이버 1월 라이브 내부직원 출연 헤어메이크업 비용,네이버,라이브
2025-01-01,(판)광고선전비,200000,네이버 1월 오늘의팝업 커뮤니티 바이럴(4건),네이버,카페바이럴
2025-01-01,(판)광고선전비,100000,CJ 2월 밴쿠버 라방 커뮤니티 바이럴 (4건),씨제이몰,카페바이럴
2025-01-01,(판)광고선전비,1308750,네이버 1월 신학기대전 퍼포먼스마케팅,네이버,메타
2025-01-01,(판)판촉비,34380583,1월 네이버 일룸 회사부담적립금,네이버,사은품
2025-01-01,(판)광고선전비,2000000,네이버 1월 신학기 라이브 쇼호스트 출연료(조정선 님),네이버,라이브
2025-01-01,(판)광고선전비,7000000,네이버 1월 The가구 라이브 제작 및 광고 비용,네이버,라이브
2025-01-01,(판)광고선전비,4999999,네이버 1월 신학기대전 퍼포먼스마케팅,네이버,메타
2025-01-01,(판)광고선전비,4999864,네이버 1월 더가구/오늘의 팝업 퍼포먼스 마케팅,네이버,메타
2025-01-01,(판)광고선전비,1072321,오늘의집 1월 스페셜 브랜드위크 퍼포먼스 마케팅,오늘의 집,메타
2025-01-01,(판)광고선전비,224480,오늘의집 12월 브랜드위크 세르크 사은품 제세공과금 대납(진성희 외 3건),오늘의 집,사은품
2025-01-01,(판)판촉비,10400,29CM 12월 쇼케이스 포토후기 사은품,29CM,사은품
2025-01-01,(판)판촉비,1310400,네이버 11월 라이브 사은품,네이버,사은품
2025-01-01,(판)판촉비,518000,네이버 11월 라이브 사은품,네이버,사은품
2025-01-01,(판)판촉비,10400,29CM 12월 쇼케이스 포토후기 사은품,29CM,사은품
2025-01-01,(판)판촉비,-103600,네이버 11월 라이브 사은품 (반품),네이버,사은품
2025-01-01,(판)판촉비,412500,오늘의집 12월 브랜드위크 사은품,오늘의 집,사은품
2025-01-01,(판)판촉비,19400,[법인카드사용]네이버 11월 퍼패페 연합 라이브 구매인증 이벤트 혜택(N포인트 1만원 2ea),네이버,라이브
2025-01-01,(판)판촉비,9500,"[법인카드사용]네이버 11월 단독 라이브 에디키즈 구매인증 이벤트(N포인트 5천원, 2EA)",네이버,라이브
2025-01-01,(판)판촉비,583740,네이버 11월 라이브 사은품 제세공과금 정산(구교훈 외 16명),네이버,사은품
2025-01-01,(판)판촉비,42300,네이버 11월 라이브 사은품 제세공과금 정산(안현준),네이버,사은품
2025-01-01,(판)광고선전비,1499916,29CM 1월 '브랜드세일' 광고비,29CM,기타광고비
2025-01-01,(판)광고선전비,909083,SSG 1월 '얼리 신학기'광고비,SSG,기타광고비
2025-01-01,(판)광고선전비,432339,"네이버 1월 체험단(두들,레마) 제세공과금 대납 (강효진 외 9명)",네이버,체험단
2025-01-01,(판)광고선전비,938861,"네이버 1월 체험단(두들,레마) 제세공과금 대납 (강효진 외 9명)",네이버,체험단
2025-01-01,(판)판촉비,7636,헤이븐클럽 코끼리 명상음원서비스_25년 1월_외부몰,네이버,외부몰프로모션
2025-02-01,(판)판촉비,28500,25년 2월 발송_후기 프로모션(온라인_외부몰),네이버,외부몰프로모션
2025-02-01,(판)판촉비,10068,"[법인카드사용]공식몰 리뉴얼을 위한 내부 설문조사 참여 시 리워드 지급 (커피기프티콘, 총 8인)",일룸쇼핑몰,사은품
2025-02-01,(판)판촉비,3818,헤이븐클럽 코끼리 명상음원서비스_25년 2월_공식몰,일룸쇼핑몰,공식몰프로모션
2025-02-01,(판)판촉비,1377500,25년 2월 발송_구매 프로모션(온라인_공식몰),일룸쇼핑몰,공식몰프로모션
2025-02-01,(판)판촉비,807500,25년 2월 발송_입주 프로모션(온라인_공식몰),일룸쇼핑몰,공식몰프로모션
2025-02-01,(판)판촉비,285000,25년 2월 발송_신혼 프로모션(온라인_공식몰),일룸쇼핑몰,공식몰프로모션
